metric,type,top,ec,value
acc,forward,2,8,0.75
acc,forward,2,0,0.5919854280510018
acc,forward,2,45,0.8333333333333334
acc,forward,2,3,0.5476190476190477
acc,forward,2,27,0.875
acc,forward,2,6,0.782608695652174
acc,forward,2,14,0.26666666666666666
acc,forward,2,21,0.7272727272727273
acc,forward,2,1,0.6031746031746031
acc,forward,2,2,0.39473684210526316
acc,forward,2,9,0.30434782608695654
acc,forward,2,37,0.16666666666666666
acc,forward,2,35,0.0
acc,forward,2,30,0.875
acc,forward,2,52,0.6666666666666666
acc,forward,2,34,0.3333333333333333
acc,forward,2,23,1.0
acc,forward,2,12,0.42857142857142855
acc,forward,2,39,0.16666666666666666
acc,forward,2,13,0.1111111111111111
acc,forward,2,53,1.0
acc,forward,2,20,0.9
acc,forward,2,15,1.0
acc,forward,2,10,0.5294117647058824
acc,forward,2,31,0.5
acc,forward,2,19,0.6
acc,forward,2,4,0.6296296296296297
acc,forward,2,26,0.8
acc,forward,2,46,0.0
acc,forward,2,7,0.3684210526315789
acc,forward,2,25,0.42857142857142855
acc,forward,2,28,0.7272727272727273
acc,forward,2,16,0.8571428571428571
acc,forward,2,24,0.7272727272727273
acc,forward,2,29,0.875
acc,forward,2,51,1.0
acc,forward,2,22,1.0
acc,forward,2,5,0.5384615384615384
acc,forward,2,11,0.8333333333333334
acc,forward,2,17,1.0
acc,forward,2,33,1.0
acc,forward,2,50,1.0
acc,forward,2,18,0.4444444444444444
acc,forward,2,42,0.4
acc,forward,2,43,0.75
acc,forward,2,36,1.0
acc,forward,2,38,0.0
acc,forward,2,47,1.0
acc,forward,2,32,0.75
acc,forward,2,44,0.0
acc,forward,2,41,0.5
acc,forward,2,49,1.0
acc,forward,2,48,0.0
acc,forward,2,40,0.75
acc,forward,2,overall,0.5828828828828829
acc,backward,2,8,0.0625
acc,backward,2,0,0.0
acc,backward,2,45,0.0
acc,backward,2,3,0.0
acc,backward,2,27,0.0
acc,backward,2,6,0.0
acc,backward,2,14,0.0
acc,backward,2,21,0.0
acc,backward,2,1,0.0
acc,backward,2,2,0.0
acc,backward,2,9,0.0
acc,backward,2,37,0.0
acc,backward,2,35,0.0
acc,backward,2,30,0.0
acc,backward,2,52,0.0
acc,backward,2,34,0.0
acc,backward,2,23,0.0
acc,backward,2,12,0.0
acc,backward,2,39,0.0
acc,backward,2,13,0.0
acc,backward,2,53,0.0
acc,backward,2,20,0.0
acc,backward,2,15,0.0
acc,backward,2,10,0.0
acc,backward,2,31,0.0
acc,backward,2,19,0.0
acc,backward,2,4,0.0
acc,backward,2,26,0.0
acc,backward,2,46,0.0
acc,backward,2,7,0.0
acc,backward,2,25,0.0
acc,backward,2,28,0.0
acc,backward,2,16,0.0
acc,backward,2,24,0.0
acc,backward,2,29,0.0
acc,backward,2,51,0.0
acc,backward,2,22,0.0
acc,backward,2,5,0.0
acc,backward,2,11,0.0
acc,backward,2,17,0.0
acc,backward,2,33,0.0
acc,backward,2,50,0.0
acc,backward,2,18,0.0
acc,backward,2,42,0.0
acc,backward,2,43,0.0
acc,backward,2,36,0.0
acc,backward,2,38,0.0
acc,backward,2,47,0.0
acc,backward,2,32,0.0
acc,backward,2,44,0.0
acc,backward,2,41,0.0
acc,backward,2,49,0.0
acc,backward,2,48,0.0
acc,backward,2,40,0.0
acc,backward,2,overall,0.0009009009009009009
acc,ec,2,8,0.0625
acc,ec,2,0,0.0
acc,ec,2,45,0.0
acc,ec,2,3,0.023809523809523808
acc,ec,2,27,0.0
acc,ec,2,6,0.0
acc,ec,2,14,0.0
acc,ec,2,21,0.0
acc,ec,2,1,0.0
acc,ec,2,2,0.0
acc,ec,2,9,0.0
acc,ec,2,37,0.0
acc,ec,2,35,0.14285714285714285
acc,ec,2,30,0.0
acc,ec,2,52,0.0
acc,ec,2,34,0.0
acc,ec,2,23,0.0
acc,ec,2,12,0.0
acc,ec,2,39,0.0
acc,ec,2,13,0.0
acc,ec,2,53,0.0
acc,ec,2,20,0.0
acc,ec,2,15,0.0
acc,ec,2,10,0.0
acc,ec,2,31,0.0
acc,ec,2,19,0.0
acc,ec,2,4,0.0
acc,ec,2,26,0.0
acc,ec,2,46,0.0
acc,ec,2,7,0.0
acc,ec,2,25,0.0
acc,ec,2,28,0.0
acc,ec,2,16,0.0
acc,ec,2,24,0.0
acc,ec,2,29,0.0
acc,ec,2,51,0.0
acc,ec,2,22,0.0
acc,ec,2,5,0.0
acc,ec,2,11,0.0
acc,ec,2,17,0.0
acc,ec,2,33,0.0
acc,ec,2,50,0.0
acc,ec,2,18,0.0
acc,ec,2,42,0.0
acc,ec,2,43,0.0
acc,ec,2,36,0.0
acc,ec,2,38,0.0
acc,ec,2,47,0.0
acc,ec,2,32,0.0
acc,ec,2,44,0.0
acc,ec,2,41,0.0
acc,ec,2,49,0.0
acc,ec,2,48,0.0
acc,ec,2,40,0.0
acc,ec,2,overall,0.002702702702702703
