FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CC(C)O.C(=C/c1ccccc1)\c1ccccc1|0.1.0.8>>CCO[C@@H](c1ccccc1)[C@H](c1ccccc1)C(F)(F)F
FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CC(=O)O.C(=C/c1ccccc1)\c1ccccc1|0.1.0.8>>CC(=O)O[C@@H](c1ccccc1)[C@H](c1ccccc1)C(F)(F)F
CC=O.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>CC(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
CCC=O.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>CCC(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
CCCC=O.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>CCCC(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
CCCCCCCC=O.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>CCCCCCCC(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
CC(C)(C)[Si](C)(C)OCCCCCC=O.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>CC(C)(C)[Si](C)(C)OCCCCCC(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
O=CCc1ccc(Br)cc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>[N-]=[N+]=NC(Cc1ccc(Br)cc1)OC(CC(F)(F)F)c1ccc2ccccc2c1
CC(C)CC=O.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>CC(C)CC(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
O=CC1CCCCC1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>[N-]=[N+]=NC(OC(CC(F)(F)F)c1ccc2ccccc2c1)C1CCCCC1
CC(C)=O.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>CC(C)(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
CCC(=O)CC.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>CCC(CC)(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
O=C1CC1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.C=Cc1ccc2ccccc2c1.C[Si](C)(C)N=[N+]=[N-]|0.3.0.5>>[N-]=[N+]=NC1(OC(CC(F)(F)F)c2ccc3ccccc3c2)CC1
